,Fighter,W/L,Date,Method,Round,Time,Method Code,Total Fight Time (Sec),KD,Sig. Str. Landed,Sig. Str. Attempted,Sig. Str. %,Total Str. Landed,Total Str. Attempted,Total Str. %,TD Landed,TD Attempted,TD %,Sub. Attempted,Sub. Successful,Sub. %,Ctrl Time (Sec),Opp. KD,Opp. Sig. Str. Landed,Opp. Sig. Str. Attempted,Opp. Sig. Str. %,Opp. Total Str. Landed,Opp. Total Str. Attempted,Opp. Total Str. %,Opp. TD Landed,Opp. TD Attempted,Opp. TD %,Opp. Sub. Attempted,Opp. Sub. Successful,Opp. Sub. %,Opp. Ctrl Time (Sec),Opp. Fighter,Opp. Fighter Code,Target
17,David Abbott,win,1996-12-07,KO/TKO,1.0,2:51,2,171,0.0,13.0,28.0,0.46,16.0,32.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,6.0,18.0,0.33,6.0,18.0,0.33,0.0,0.0,N/A,2.0,1.0,0.5,N/A,Don Frye,396,1
18,David Abbott,win,1996-12-07,KO/TKO,1.0,2:51,2,171,1.0,9.0,17.0,0.52,13.0,21.0,0.62,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,2.0,2.0,1.0,2.0,2.0,1.0,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Steve Nelmark,1280,1
19,David Abbott,win,1996-12-07,KO/TKO,1.0,2:51,2,171,0.0,4.0,9.0,0.44,9.0,17.0,0.53,0.0,1.0,0.0,1.0,0.0,0,N/A,0.0,5.0,7.0,0.71,16.0,22.0,0.73,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Cal Worsham,188,1
20,David Abbott,loss,1996-09-20,U-DEC,2.0,3:00,6,780,0.0,21.0,50.0,0.42,27.0,56.0,0.48,0.0,1.0,0.0,0.0,0.0,N/A,N/A,0.0,60.0,94.0,0.63,180.0,216.0,0.83,0.0,1.0,0.0,0.0,0.0,N/A,N/A,Scott Ferrozzo,1224,0
21,David Abbott,loss,1996-09-20,U-DEC,2.0,3:00,6,780,0.0,8.0,9.0,0.88,16.0,17.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,N/A,0.0,0.0,2.0,0.0,3.0,5.0,0.6,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Sam Adkins,1210,0
22,David Abbott,win,1996-09-20,SUB,1.0,2:06,5,126,0.0,21.0,50.0,0.42,27.0,56.0,0.48,0.0,1.0,0.0,0.0,0.0,N/A,N/A,0.0,60.0,94.0,0.63,180.0,216.0,0.83,0.0,1.0,0.0,0.0,0.0,N/A,N/A,Scott Ferrozzo,1224,1
23,David Abbott,win,1996-09-20,SUB,1.0,2:06,5,126,0.0,8.0,9.0,0.88,16.0,17.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,N/A,0.0,0.0,2.0,0.0,3.0,5.0,0.6,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Sam Adkins,1210,1
24,David Abbott,loss,1995-12-16,U-DEC,1.0,18:00,6,1080,0.0,3.0,6.0,0.5,11.0,16.0,0.69,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,57.0,65.0,0.87,233.0,253.0,0.92,1.0,2.0,0.5,0.0,0.0,N/A,N/A,Dan Severn,320,0
25,David Abbott,loss,1995-12-16,U-DEC,1.0,18:00,6,1080,0.0,1.0,1.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,N/A,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Steve Jennum,1279,0
26,David Abbott,win,1995-12-16,SUB,1.0,1:14,5,74,0.0,3.0,6.0,0.5,11.0,16.0,0.69,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,57.0,65.0,0.87,233.0,253.0,0.92,1.0,2.0,0.5,0.0,0.0,N/A,N/A,Dan Severn,320,1
27,David Abbott,win,1995-12-16,SUB,1.0,1:14,5,74,0.0,1.0,1.0,1.0,3.0,5.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,N/A,0.0,0.0,1.0,0.0,1.0,2.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Steve Jennum,1279,1
28,David Abbott,loss,1995-07-14,SUB,1.0,17:45,5,1065,0.0,17.0,45.0,0.37,39.0,71.0,0.55,2.0,3.0,0.66,1.0,0.0,0,N/A,0.0,4.0,10.0,0.4,48.0,59.0,0.81,0.0,3.0,0.0,4.0,1.0,0.25,N/A,Oleg Taktarov,1076,0
29,David Abbott,loss,1995-07-14,SUB,1.0,17:45,5,1065,0.0,14.0,21.0,0.66,18.0,25.0,0.72,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,1.0,2.0,0.5,12.0,14.0,0.86,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Paul Varelans,1100,0
30,David Abbott,loss,1995-07-14,SUB,1.0,17:45,5,1065,2.0,7.0,12.0,0.58,7.0,12.0,0.58,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,N/A,John Matua,693,0
31,David Abbott,win,1995-07-14,KO/TKO,1.0,1:53,2,113,0.0,17.0,45.0,0.37,39.0,71.0,0.55,2.0,3.0,0.66,1.0,0.0,0,N/A,0.0,4.0,10.0,0.4,48.0,59.0,0.81,0.0,3.0,0.0,4.0,1.0,0.25,N/A,Oleg Taktarov,1076,1
32,David Abbott,win,1995-07-14,KO/TKO,1.0,1:53,2,113,0.0,14.0,21.0,0.66,18.0,25.0,0.72,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,1.0,2.0,0.5,12.0,14.0,0.86,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Paul Varelans,1100,1
33,David Abbott,win,1995-07-14,KO/TKO,1.0,1:53,2,113,2.0,7.0,12.0,0.58,7.0,12.0,0.58,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,N/A,John Matua,693,1
34,David Abbott,win,1995-07-14,KO/TKO,1.0,0:20,2,20,0.0,17.0,45.0,0.37,39.0,71.0,0.55,2.0,3.0,0.66,1.0,0.0,0,N/A,0.0,4.0,10.0,0.4,48.0,59.0,0.81,0.0,3.0,0.0,4.0,1.0,0.25,N/A,Oleg Taktarov,1076,1
35,David Abbott,win,1995-07-14,KO/TKO,1.0,0:20,2,20,0.0,14.0,21.0,0.66,18.0,25.0,0.72,1.0,1.0,1.0,0.0,0.0,N/A,N/A,0.0,1.0,2.0,0.5,12.0,14.0,0.86,0.0,0.0,N/A,0.0,0.0,N/A,N/A,Paul Varelans,1100,1
36,David Abbott,win,1995-07-14,KO/TKO,1.0,0:20,2,20,2.0,7.0,12.0,0.58,7.0,12.0,0.58,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,N/A,John Matua,693,1
37,Shamil Abdurakhimov,loss,2023-01-21,KO/TKO,2.0,2:56,2,776,0.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,45.0,57.0,0.78,89.0,110.0,0.81,3.0,5.0,0.6,0.0,0.0,N/A,448.0,Jailton Almeida,582,0
38,Shamil Abdurakhimov,loss,2022-03-19,KO/TKO,1.0,4:03,2,243,0.0,17.0,34.0,0.5,17.0,34.0,0.5,0.0,1.0,0.0,0.0,0.0,N/A,0.0,1.0,21.0,47.0,0.44,22.0,48.0,0.46,0.0,0.0,N/A,0.0,0.0,N/A,12.0,Sergei Pavlovich,1238,0
39,Shamil Abdurakhimov,loss,2021-09-25,KO/TKO,2.0,1:23,2,683,0.0,23.0,63.0,0.36,23.0,63.0,0.37,0.0,0.0,N/A,0.0,0.0,N/A,0.0,2.0,38.0,93.0,0.4,38.0,93.0,0.41,0.0,0.0,N/A,0.0,0.0,N/A,48.0,Chris Daukaus,241,0
40,Shamil Abdurakhimov,loss,2019-09-07,KO/TKO,2.0,2:22,2,742,0.0,3.0,8.0,0.37,3.0,8.0,0.38,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,25.0,43.0,0.58,46.0,74.0,0.62,5.0,5.0,1.0,0.0,0.0,N/A,367.0,Curtis Blaydes,296,0
41,Shamil Abdurakhimov,win,2019-04-20,KO/TKO,2.0,3:15,2,795,1.0,36.0,87.0,0.41,36.0,87.0,0.41,0.0,3.0,0.0,0.0,0.0,N/A,0.0,0.0,28.0,70.0,0.4,28.0,70.0,0.4,0.0,0.0,N/A,0.0,0.0,N/A,0.0,Marcin Tybura,912,1
42,Shamil Abdurakhimov,win,2018-09-15,U-DEC,3.0,5:00,6,1200,0.0,32.0,70.0,0.45,67.0,108.0,0.62,2.0,4.0,0.5,0.0,0.0,N/A,206.0,0.0,18.0,58.0,0.31,27.0,71.0,0.38,2.0,3.0,0.66,0.0,0.0,N/A,18.0,Andrei Arlovski,79,1
43,Shamil Abdurakhimov,win,2017-11-25,KO/TKO,1.0,1:24,2,84,1.0,6.0,10.0,0.6,6.0,10.0,0.6,0.0,0.0,N/A,0.0,0.0,N/A,1.0,0.0,5.0,13.0,0.38,5.0,13.0,0.38,0.0,0.0,N/A,0.0,0.0,N/A,0.0,Chase Sherman,229,1
44,Shamil Abdurakhimov,loss,2016-12-09,KO/TKO,4.0,3:42,2,1422,0.0,15.0,37.0,0.4,77.0,106.0,0.73,4.0,11.0,0.36,1.0,0.0,0,452.0,0.0,39.0,90.0,0.43,46.0,97.0,0.47,1.0,3.0,0.33,0.0,0.0,N/A,102.0,Derrick Lewis,375,0
45,Shamil Abdurakhimov,win,2016-10-01,S-DEC,3.0,5:00,4,1200,0.0,47.0,128.0,0.36,52.0,135.0,0.39,1.0,8.0,0.12,0.0,0.0,N/A,44.0,0.0,33.0,98.0,0.33,36.0,101.0,0.36,0.0,0.0,N/A,1.0,0.0,0,29.0,Walt Harris,1397,1
46,Shamil Abdurakhimov,win,2016-02-21,U-DEC,3.0,5:00,6,1200,0.0,62.0,104.0,0.59,89.0,132.0,0.67,0.0,2.0,0.0,0.0,0.0,N/A,4.0,0.0,40.0,77.0,0.51,48.0,86.0,0.56,0.0,4.0,0.0,0.0,0.0,N/A,15.0,Anthony Hamilton,91,1
47,Shamil Abdurakhimov,loss,2015-04-04,KO/TKO,1.0,4:57,2,297,0.0,9.0,25.0,0.36,11.0,27.0,0.41,0.0,1.0,0.0,0.0,0.0,N/A,31.0,0.0,22.0,59.0,0.37,33.0,72.0,0.46,1.0,2.0,0.5,0.0,0.0,N/A,57.0,Timothy Johnson,1335,0
48,Juan Adams,loss,2020-02-08,KO/TKO,1.0,1:59,2,119,0.0,7.0,11.0,0.63,7.0,11.0,0.64,0.0,0.0,N/A,0.0,0.0,N/A,0.0,1.0,10.0,15.0,0.66,10.0,15.0,0.67,0.0,0.0,N/A,0.0,0.0,N/A,2.0,Justin Tafa,756,0
49,Juan Adams,loss,2019-07-20,KO/TKO,1.0,0:45,2,45,0.0,3.0,7.0,0.42,3.0,7.0,0.43,0.0,1.0,0.0,0.0,0.0,N/A,0.0,0.0,36.0,38.0,0.94,36.0,38.0,0.95,0.0,0.0,N/A,0.0,0.0,N/A,17.0,Greg Hardy,514,0
50,Juan Adams,loss,2019-05-04,U-DEC,3.0,5:00,6,1200,0.0,81.0,185.0,0.43,107.0,212.0,0.5,0.0,0.0,N/A,0.0,0.0,N/A,84.0,0.0,41.0,62.0,0.66,69.0,94.0,0.73,2.0,2.0,1.0,0.0,0.0,N/A,318.0,Arjan Bhullar,117,0
51,Juan Adams,win,2018-12-15,KO/TKO,3.0,0:58,2,958,0.0,86.0,144.0,0.59,121.0,180.0,0.67,2.0,2.0,1.0,0.0,0.0,N/A,276.0,0.0,41.0,76.0,0.53,46.0,81.0,0.57,1.0,2.0,0.5,0.0,0.0,N/A,59.0,Chris de la Rocha,254,1
52,Juan Adams,win,2018-07-31,KO/TKO,1.0,4:17,2,257,0.0,57.0,73.0,0.78,82.0,102.0,0.8,0.0,0.0,N/A,0.0,0.0,N/A,N/A,0.0,6.0,14.0,0.42,6.0,14.0,0.43,0.0,3.0,0.0,0.0,0.0,N/A,N/A,Shawn Teed,1258,1
53,Israel Adesanya,loss,2023-09-09,U-DEC,5.0,5:00,6,1800,0.0,94.0,271.0,0.34,94.0,271.0,0.35,0.0,0.0,N/A,0.0,0.0,N/A,0.0,1.0,137.0,259.0,0.52,137.0,259.0,0.53,0.0,0.0,N/A,0.0,0.0,N/A,14.0,Sean Strickland,1233,0
54,Israel Adesanya,win,2023-04-08,KO/TKO,2.0,4:21,2,861,1.0,41.0,96.0,0.42,41.0,96.0,0.43,0.0,0.0,N/A,0.0,0.0,N/A,3.0,0.0,49.0,85.0,0.57,49.0,85.0,0.58,0.0,0.0,N/A,0.0,0.0,N/A,0.0,Alex Pereira,40,1
